mode,seed,condition,macro_f1,harm_vs_clean,repair_vs_clean
legacy,7,full_validation,0.974956631565139,,
legacy,7,clean,0.9742298916600558,0,0
legacy,7,uniform_half,0.9647945316279652,58,27
legacy,7,uniform_quarter,0.9474400492049396,121,33
legacy,7,central_half,0.9326257022226874,162,22
legacy,7,xy_fraction6,0.9742298916600558,0,0
legacy,17,full_validation,0.9753641640778563,,
legacy,17,clean,0.974237272697515,0,0
legacy,17,uniform_half,0.9669421135443377,52,28
legacy,17,uniform_quarter,0.9504409050273501,114,36
legacy,17,central_half,0.9323936592258735,170,29
legacy,17,xy_fraction6,0.974237272697515,0,0
proxy_scaled,7,full_validation,0.9805465848554481,,
proxy_scaled,7,clean,0.9745979627705319,0,0
proxy_scaled,7,uniform_half,0.96813053795359,53,32
proxy_scaled,7,uniform_quarter,0.9556477328545034,107,45
proxy_scaled,7,central_half,0.9371158651128011,146,20
proxy_scaled,7,xy_fraction6,0.9745979627705319,0,0
proxy_scaled,17,full_validation,0.9808063797591391,,
proxy_scaled,17,clean,0.9778729685068426,0,0
proxy_scaled,17,uniform_half,0.9713474867798975,52,31
proxy_scaled,17,uniform_quarter,0.94367938562985,142,32
proxy_scaled,17,central_half,0.9402939963415747,157,31
proxy_scaled,17,xy_fraction6,0.9778729685068426,0,0
moment24,7,full_validation,0.9796431068164868,,
moment24,7,clean,0.9733737682052563,0,0
moment24,7,uniform_half,0.9712273951219235,36,29
moment24,7,uniform_quarter,0.9580830634638158,86,36
moment24,7,central_half,0.9371158651128011,139,17
moment24,7,xy_fraction6,0.9733737682052563,0,0
moment24,17,full_validation,0.9814378870196045,,
moment24,17,clean,0.9772181727465945,0,0
moment24,17,uniform_half,0.9729241110548339,38,24
moment24,17,uniform_quarter,0.9572512738178858,98,33
moment24,17,central_half,0.9426244698333559,140,24
moment24,17,xy_fraction6,0.9772181727465945,0,0
moment16,7,full_validation,0.9807921402303592,,
moment16,7,clean,0.9782024422973483,0,0
moment16,7,uniform_half,0.9738432944882873,45,31
moment16,7,uniform_quarter,0.9536957455951869,113,34
moment16,7,central_half,0.9497618205002893,120,25
moment16,7,xy_fraction6,0.9782024422973483,0,0
moment16,17,full_validation,0.982036155494107,,
moment16,17,clean,0.9809068564405956,0,0
moment16,17,uniform_half,0.9774480908907235,38,27
moment16,17,uniform_quarter,0.9535093935834333,118,30
moment16,17,central_half,0.9601672824572739,92,23
moment16,17,xy_fraction6,0.9809068564405956,0,0
