slot,name,current_unique_values,exact_unique_values,current_zero_fraction,exact_zero_fraction,changed_fraction
0,count,121,121,0.0,0.0,0.0
1,mean_x,53,58,0.01709136109384711,0.011646985705407085,0.8513486637663145
2,mean_y,55,64,0.22012430080795525,0.18840273461777501,0.46821628340584215
3,std_x,8,12,0.5379987569919205,0.4633188315724052,0.14575512740832816
4,std_y,7,11,0.9051336233685519,0.8845494095711622,0.03229334990677439
5,span_x,28,28,0.05520198881292728,0.05520198881292728,0.0
6,span_y,21,21,0.11736482287134867,0.11736482287134867,0.0
7,range_min,45,42,0.0,0.0,0.5480546923555003
8,range_max,45,42,0.0,0.0,0.6401988812927284
9,centroid_range,43,42,0.0,0.0,0.8435301429459291
10,azimuth_span,21,2,0.11736482287134867,0.9950279676817899,0.8778495960223741
11,eig_major,8,123,0.4833064014916097,0.3125046612802983,0.5623990055935364
12,eig_minor,4,16,0.9598259788688627,0.9781603480422623,0.03632069608452455
13,density,85,84,0.1653325046612803,0.16604101926662523,0.006463642013673089
14,doppler_mean,23,27,0.4712119328775637,0.4130391547545059,0.35351149782473584
15,doppler_std,18,17,0.6668738346799254,0.6855935363579864,0.2499192044748291
16,doppler_min,53,53,0.26778123057799874,0.26778123057799874,0.0
17,doppler_max,53,53,0.3242013673088875,0.3242013673088875,0.0
18,rcs_mean,18,21,0.128141702921069,0.09167184586699814,0.5425108763206961
19,rcs_std,7,9,0.006016159105034183,0.002734617775015538,0.3223741454319453
20,rcs_max,26,26,0.09598508390304537,0.09598508390304537,0.0
