tag,name,dim,clean,quarter,central,sparse_single,sparse_context,composite,seed7,seed17,seed37
A,旧A主基线,21,0.9808745646096092,0.957659484388307,0.9527592947429516,0.9097747277870734,0.9444483735483334,0.9491032890152549,0.95216995719133,0.9499821326330136,0.9451577772214211
B,旧B困难备选,21,0.9812050781825041,0.9709818213808353,0.9700934985434829,0.9422351640064527,0.9608864892211068,0.9650804102668763,0.9656569144420434,0.9654081085879259,0.9641762077706595
core8,8维基础量,8,0.9733623647665485,0.9563537569150715,0.9436793020451174,0.9533916511814446,0.9622354480468808,0.9578045045910125,0.9574166431864841,0.9574938455612463,0.9585030250253073
proxy12,12维代理量,12,0.9794949355328884,0.9681632855398966,0.9604430360405346,0.9545533622649947,0.964603859433906,0.965451695762444,0.9656808850933561,0.9643166807302688,0.9663575214637072
distribution12,12维速度/反射补充,12,0.9817636377343483,0.9644611290536371,0.9619803577114686,0.9499438530957738,0.9656656697959587,0.9647629294782374,0.9643376906191271,0.9640999373723748,0.9658511604432102
combined15,15维分布补充,15,0.9820866660682598,0.9652494196927298,0.9642234292223829,0.9490126370636464,0.9651614314993721,0.9651467167092781,0.9646695983499114,0.9660804025810469,0.9646901491968762
base16,旧16维,16,0.9814311857274016,0.9695452556313633,0.9658980412736066,0.9551365232636856,0.966136517685516,0.9676295047163146,0.9670255516376379,0.9671152749701359,0.96874768754117
support17,17维：16＋点数,17,0.9814188135615364,0.9694459986836416,0.9652927997136637,0.9521476817997995,0.9649578455197932,0.966652627855687,0.9661470649306846,0.9663664976309544,0.9674443210054218
combined23,旧23维,23,0.9849057690776286,0.9712133311606288,0.9717357633502618,0.9524765698817664,0.9676906633632866,0.9696044193667145,0.9687568855591634,0.9695596976357503,0.9704966749052296
support24,24维：23＋点数,24,0.9847915167437935,0.9714615905250072,0.9730135053354098,0.9518400650837532,0.967216216241689,0.9696645787859305,0.9690175224589896,0.9695787106256105,0.9703975032731911
width28,28维：加四分位宽度,28,0.9860586071592207,0.9717173613973079,0.9737489007575125,0.9532088454424205,0.9682448639385391,0.970595715739,0.9702817569675044,0.9711300400656324,0.9703753501838636
asymmetry28,28维：加分位不对称,28,0.9847469156185263,0.9714757594025077,0.972380325626597,0.9519260943874789,0.9673433302955085,0.9695744850661238,0.9698496606968989,0.9690230804283683,0.9698507140731039
quantile32,32维：两分位组,32,0.9852634777034156,0.9710972909352247,0.9723465286520988,0.9538891624193856,0.9684318263458221,0.9702056572111893,0.9693259433839578,0.970574655478815,0.970716372770795
full36,36维：再加中位位置,36,0.9860942179816011,0.9713960124921758,0.972223306517367,0.9528631935101671,0.9679822373157263,0.9701117935634075,0.9701848751771983,0.9698610070731082,0.9702894984399155
redundant36,36维：仅重复旧输入,36,0.9851201913424497,0.9712945174035856,0.9734227125692557,0.9520699510024272,0.9672415993798854,0.9698297943395207,0.9704335401184269,0.9702745107866907,0.9687813321134445
