tag,input_column,canonical_column,feature_name
core8,0,0,点数
core8,1,1,x代理均值
core8,2,2,y代理均值
core8,3,3,x跨度
core8,4,4,y跨度
core8,5,9,径向速度代理均值
core8,6,13,RCS代理均值
core8,7,14,RCS离散代理（跨度右移2）
proxy12,0,0,点数
proxy12,1,1,x代理均值
proxy12,2,2,y代理均值
proxy12,3,3,x跨度
proxy12,4,4,y跨度
proxy12,5,5,点距离代理最小值
proxy12,6,6,点距离代理最大值
proxy12,7,9,径向速度代理均值
proxy12,8,10,径向速度离散代理（跨度右移2）
proxy12,9,13,RCS代理均值
proxy12,10,14,RCS离散代理（跨度右移2）
proxy12,11,15,RCS最大值
distribution12,0,0,点数
distribution12,1,1,x代理均值
distribution12,2,2,y代理均值
distribution12,3,3,x跨度
distribution12,4,4,y跨度
distribution12,5,9,径向速度代理均值
distribution12,6,13,RCS代理均值
distribution12,7,14,RCS离散代理（跨度右移2）
distribution12,8,19,4Var(vr_compensated)/span(vr)^2
distribution12,9,20,4Var(RCS)/span(RCS)^2
distribution12,10,21,fraction_abs_vr_le_0.5_m_per_s
distribution12,11,22,2*(mean_RCS-min_RCS)/span_RCS-1
combined15,0,0,点数
combined15,1,1,x代理均值
combined15,2,2,y代理均值
combined15,3,3,x跨度
combined15,4,4,y跨度
combined15,5,9,径向速度代理均值
combined15,6,13,RCS代理均值
combined15,7,14,RCS离散代理（跨度右移2）
combined15,8,16,4Var(x)/span(x)^2
combined15,9,17,4Var(y)/span(y)^2
combined15,10,18,"4Cov(x,y)/(span(x)*span(y))"
combined15,11,19,4Var(vr_compensated)/span(vr)^2
combined15,12,20,4Var(RCS)/span(RCS)^2
combined15,13,21,fraction_abs_vr_le_0.5_m_per_s
combined15,14,22,2*(mean_RCS-min_RCS)/span_RCS-1
base16,0,0,点数
base16,1,1,x代理均值
base16,2,2,y代理均值
base16,3,3,x跨度
base16,4,4,y跨度
base16,5,5,点距离代理最小值
base16,6,6,点距离代理最大值
base16,7,7,代理中心距离
base16,8,8,原LUT密度代理
base16,9,9,径向速度代理均值
base16,10,10,径向速度离散代理（跨度右移2）
base16,11,11,径向速度最小值
base16,12,12,径向速度最大值
base16,13,13,RCS代理均值
base16,14,14,RCS离散代理（跨度右移2）
base16,15,15,RCS最大值
support17,0,0,点数
support17,1,1,x代理均值
support17,2,2,y代理均值
support17,3,3,x跨度
support17,4,4,y跨度
support17,5,5,点距离代理最小值
support17,6,6,点距离代理最大值
support17,7,7,代理中心距离
support17,8,8,原LUT密度代理
support17,9,9,径向速度代理均值
support17,10,10,径向速度离散代理（跨度右移2）
support17,11,11,径向速度最小值
support17,12,12,径向速度最大值
support17,13,13,RCS代理均值
support17,14,14,RCS离散代理（跨度右移2）
support17,15,15,RCS最大值
support17,16,23,inverse_retained_count
combined23,0,0,点数
combined23,1,1,x代理均值
combined23,2,2,y代理均值
combined23,3,3,x跨度
combined23,4,4,y跨度
combined23,5,5,点距离代理最小值
combined23,6,6,点距离代理最大值
combined23,7,7,代理中心距离
combined23,8,8,原LUT密度代理
