condition,A_f1,B_f1,delta_pp,positive_seeds
clean,98.08745646096092,98.1205078182504,0.033051357289480165,2
uniform_half_0,97.48862197286961,97.75378464229216,0.2651626694225513,3
uniform_half_1,97.39757925656522,97.68068756939826,0.2831083128330363,3
uniform_half_2,97.47691614879575,97.71042526697438,0.23350911817863107,3
uniform_quarter_0,95.69610895952519,97.03650553281449,1.340396573289297,3
uniform_quarter_1,95.81824661380757,97.14177481326888,1.3235281994613075,3
uniform_quarter_2,95.78348974315932,97.11626606816722,1.3327763250078988,3
central_half,95.27592947429515,97.00934985434829,1.7334203800531327,3
xy_fraction6,98.08530033560059,98.11959462545026,0.03429428984966876,2
xy_fraction4,98.09447791159903,98.12613883101848,0.03166091941945126,2
kept_single,95.25694098552776,96.73066961917142,1.4737286336436597,3
