stage,mode,condition,group,samples,macro_f1
factorial,proxy,uniform_half_0,elongated,45116,97.40937692519624
factorial,proxy,uniform_half_0,intermediate,30998,96.89673307075326
factorial,proxy,uniform_half_0,compact,4336,96.36973170166549
factorial,proxy,central_half,elongated,45116,95.51814114118771
factorial,proxy,central_half,intermediate,30998,93.6868542075959
factorial,proxy,central_half,compact,4336,92.58750386590431
factorial,mean,uniform_half_0,elongated,45116,97.32335214423038
factorial,mean,uniform_half_0,intermediate,30998,96.8659703673123
factorial,mean,uniform_half_0,compact,4336,96.54797588720312
factorial,mean,central_half,elongated,45116,95.93677988802443
factorial,mean,central_half,intermediate,30998,94.38575861590532
factorial,mean,central_half,compact,4336,93.75350567586449
factorial,moment,uniform_half_0,elongated,45116,97.10272844925733
factorial,moment,uniform_half_0,intermediate,30998,96.67175927802698
factorial,moment,uniform_half_0,compact,4336,96.50849283638088
factorial,moment,central_half,elongated,45116,95.78171223514437
factorial,moment,central_half,intermediate,30998,94.13752295713462
factorial,moment,central_half,compact,4336,92.69476269482968
augmentation,proxy,uniform_half_0,elongated,45116,97.60347614703778
augmentation,proxy,uniform_half_0,intermediate,30998,97.32202776116641
augmentation,proxy,uniform_half_0,compact,4336,96.72734996380699
augmentation,proxy,central_half,elongated,45116,96.8153798824834
augmentation,proxy,central_half,intermediate,30998,96.33475627996242
augmentation,proxy,central_half,compact,4336,96.27795214198781
augmentation,mean,uniform_half_0,elongated,45116,97.50215479226355
augmentation,mean,uniform_half_0,intermediate,30998,97.26594417774072
augmentation,mean,uniform_half_0,compact,4336,97.03774059080763
augmentation,mean,central_half,elongated,45116,96.96345917281596
augmentation,mean,central_half,intermediate,30998,96.52393636651244
augmentation,mean,central_half,compact,4336,96.47182555154481
augmentation,moment,uniform_half_0,elongated,45116,97.64806897833142
augmentation,moment,uniform_half_0,intermediate,30998,97.39118583104744
augmentation,moment,uniform_half_0,compact,4336,97.23982656389852
augmentation,moment,central_half,elongated,45116,96.66401837721126
augmentation,moment,central_half,intermediate,30998,96.11674000303394
augmentation,moment,central_half,compact,4336,95.95620295517513
