tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
full21,A,7,clean,0.0002704970104320248,372,393
full21,A,17,clean,-0.0021526738704772397,544,377
full21,A,37,clean,0.0006595927377266442,495,551
full21,A,7,uniform_half_0,0.00013413000909678896,529,538
full21,A,17,uniform_half_0,0.0018748058846744797,629,765
full21,A,37,uniform_half_0,0.0024014578101799744,598,785
full21,A,7,uniform_half_1,0.001188877857363213,546,634
full21,A,17,uniform_half_1,0.001496431054759273,669,776
full21,A,37,uniform_half_1,0.0032363930876990743,534,785
full21,A,7,uniform_half_2,-0.00017727255836286204,571,555
full21,A,17,uniform_half_2,0.0013729404849260884,638,736
full21,A,37,uniform_half_2,0.0025189721067566673,579,775
full21,A,7,uniform_quarter_0,0.008057804616311337,681,1287
full21,A,17,uniform_quarter_0,0.01197187800308952,763,1654
full21,A,37,uniform_quarter_0,0.012352886718265066,630,1566
full21,A,7,uniform_quarter_1,0.00707605307773973,663,1194
full21,A,17,uniform_quarter_1,0.011669990680094333,815,1681
full21,A,37,uniform_quarter_1,0.012115509447852002,646,1564
full21,A,7,uniform_quarter_2,0.006995770217283148,672,1197
full21,A,17,uniform_quarter_2,0.010851987963424459,843,1646
full21,A,37,uniform_quarter_2,0.012185240675197218,639,1561
full21,A,7,central_half,0.013610924451707751,332,1398
full21,A,17,central_half,0.009536018157901283,602,1346
full21,A,37,central_half,0.016702202855447768,397,1706
full21,A,7,xy_fraction6,0.0003085888561699113,369,393
full21,A,17,xy_fraction6,-0.002218746972720731,545,373
full21,A,37,xy_fraction6,0.0007511258554119271,489,552
full21,A,7,xy_fraction4,0.0001793987157485688,378,392
full21,A,17,xy_fraction4,-0.002192468907437517,544,374
full21,A,37,xy_fraction4,0.0005125433212198605,500,545
full21,A,7,kept_single,0.011203395119325887,766,1603
full21,A,17,kept_single,0.013735555244400954,948,1960
full21,A,37,kept_single,0.01450019470152375,760,1840
full21,A,7,sparse_single,0.03637998637573803,928,4450
full21,A,17,sparse_single,0.04005099724320582,876,4748
full21,A,37,sparse_single,0.056817513220415394,836,6312
full21,A,7,sparse_context,0.014281641191990602,810,2196
full21,A,17,sparse_context,0.021009279894880217,841,2884
full21,A,37,sparse_context,0.025951969432141286,770,3281
full21,B,7,clean,0.0006311424366312046,442,484
full21,B,17,clean,-0.0029710119544519298,499,270
full21,B,37,clean,0.00012574467681747414,383,396
full21,B,7,uniform_half_0,-0.0004940440314404881,655,609
full21,B,17,uniform_half_0,-0.0019733616977886115,589,434
full21,B,37,uniform_half_0,-0.0010770806494965202,503,424
full21,B,7,uniform_half_1,-0.0005923722086211836,651,597
full21,B,17,uniform_half_1,-0.001503329108893503,554,435
full21,B,37,uniform_half_1,-0.00047584606765471715,477,444
full21,B,7,uniform_half_2,-0.0010657249149912396,640,550
full21,B,17,uniform_half_2,-0.0016203485202317403,555,427
full21,B,37,uniform_half_2,-0.0006045600768164183,486,443
full21,B,7,uniform_quarter_0,-0.003000056124618844,795,559
full21,B,17,uniform_quarter_0,-0.002528414707605009,713,515
full21,B,37,uniform_quarter_0,-0.002300857028789016,702,532
full21,B,7,uniform_quarter_1,-0.0031183327511755676,778,533
full21,B,17,uniform_quarter_1,-0.0033691205662975676,742,479
full21,B,37,uniform_quarter_1,-0.0023568394606798826,696,521
full21,B,7,uniform_quarter_2,-0.0034465585139443755,814,544
full21,B,17,uniform_quarter_2,-0.0034319955133522706,773,506
full21,B,37,uniform_quarter_2,-0.003071736867035657,694,464
full21,B,7,central_half,-0.006308015220813923,785,293
