tag,reference,condition,seed,delta,low,high
full21,A,clean,7,0.0002704970104320248,-0.0014768531471781338,0.0025862341623028107
full21,A,clean,17,-0.0021526738704772397,-0.0069378884515497894,0.001377656273893925
full21,A,clean,37,0.0006595927377266442,-0.003568738366116997,0.006824309936195704
full21,A,clean,mean3,-0.0004075280407728569,-0.0018300116891277298,0.0016839063950372434
full21,A,uniform_half_0,7,0.00013413000909678896,-0.0025510572354576987,0.0025337284296437904
full21,A,uniform_half_0,17,0.0018748058846744797,-0.0031634147442012425,0.006445503152230981
full21,A,uniform_half_0,37,0.0024014578101799744,-0.0009742083572721022,0.007861674781364644
full21,A,uniform_half_0,mean3,0.0014701312346504143,-0.0003402547134485863,0.0037568742575527173
full21,A,uniform_half_1,7,0.001188877857363213,-0.0014481283948336227,0.0042030185104161115
full21,A,uniform_half_1,17,0.001496431054759273,-0.003953588629642959,0.0065145481246134136
full21,A,uniform_half_1,37,0.0032363930876990743,-0.0001395568223508503,0.008729499648146562
full21,A,uniform_half_1,mean3,0.0019739006666071868,0.00010095961135845971,0.004466903063142209
full21,A,uniform_half_2,7,-0.00017727255836286204,-0.003433987877416589,0.002632440398483459
full21,A,uniform_half_2,17,0.0013729404849260884,-0.003902123690714712,0.0062889483015459826
full21,A,uniform_half_2,37,0.0025189721067566673,-0.0009371594305373543,0.007830632496739464
full21,A,uniform_half_2,mean3,0.0012382133444399646,-0.0010389058600752518,0.0037774441271255644
full21,A,uniform_quarter_0,7,0.008057804616311337,0.004402594360830866,0.01321950018227169
full21,A,uniform_quarter_0,17,0.01197187800308952,0.004787985412911186,0.02186708393062051
full21,A,uniform_quarter_0,37,0.012352886718265066,0.009634807832598938,0.01786984647494892
full21,A,uniform_quarter_0,mean3,0.010794189779221974,0.00724395228198507,0.016978972511624467
full21,A,uniform_quarter_1,7,0.00707605307773973,0.0036599379703800452,0.011489849777046975
full21,A,uniform_quarter_1,17,0.011669990680094333,0.004481396296219462,0.02182813557546113
full21,A,uniform_quarter_1,37,0.012115509447852002,0.00917615323001568,0.017657392434002293
full21,A,uniform_quarter_1,mean3,0.010287184401895355,0.006807785052604838,0.016148641820738174
full21,A,uniform_quarter_2,7,0.006995770217283148,0.0032532059662092492,0.012102862628470962
full21,A,uniform_quarter_2,17,0.010851987963424459,0.002705895070399436,0.021339635968389316
full21,A,uniform_quarter_2,37,0.012185240675197218,0.009246070463876908,0.018048375813129024
full21,A,uniform_quarter_2,mean3,0.010010999618634941,0.0062699609178467,0.016376349027624255
full21,A,central_half,7,0.013610924451707751,0.00700290737314419,0.02603511950642474
full21,A,central_half,17,0.009536018157901283,0.004380378389217621,0.01855755936806674
full21,A,central_half,37,0.016702202855447768,0.008284211868935859,0.03363118876044025
full21,A,central_half,mean3,0.013283048488352267,0.006768178203519654,0.02604477812021675
full21,A,xy_fraction6,7,0.0003085888561699113,-0.001445179817682138,0.0026659376811008825
full21,A,xy_fraction6,17,-0.002218746972720731,-0.007027585048168414,0.0013283689394936852
full21,A,xy_fraction6,37,0.0007511258554119271,-0.003503316720279989,0.006942418617951294
full21,A,xy_fraction6,mean3,-0.0003863440870462975,-0.0017921318418544292,0.001715105281307175
full21,A,xy_fraction4,7,0.0001793987157485688,-0.0015209161769192403,0.0025048766747778894
full21,A,xy_fraction4,17,-0.002192468907437517,-0.006941030427138614,0.0012853096686578764
full21,A,xy_fraction4,37,0.0005125433212198605,-0.0038657267085986575,0.006748527663617527
full21,A,xy_fraction4,mean3,-0.0005001756234896959,-0.001873734120316431,0.0014991208017264247
full21,A,kept_single,7,0.011203395119325887,0.00317939145794785,0.020597542262528593
full21,A,kept_single,17,0.013735555244400954,-0.0007434815305069953,0.029919033184937178
full21,A,kept_single,37,0.01450019470152375,0.00682034656840125,0.02515315333526334
full21,A,kept_single,mean3,0.013146381688416864,0.0035724460471858047,0.025498963374946535
full21,A,sparse_single,7,0.03637998637573803,0.02703989457957865,0.054509140263822795
full21,A,sparse_single,17,0.04005099724320582,0.02665615627930034,0.06209215561679937
full21,A,sparse_single,37,0.056817513220415394,0.0438421926230879,0.08291455032401167
