tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
asymmetry28,A,7,clean,0.005420420843370022,395,809
asymmetry28,A,17,clean,0.001356936893459948,538,639
asymmetry28,A,37,clean,0.004839695289921564,443,815
asymmetry28,A,7,uniform_half_0,0.005395697898157414,568,980
asymmetry28,A,17,uniform_half_0,0.003981325199539532,702,1001
asymmetry28,A,37,uniform_half_0,0.005790313308565609,644,1088
asymmetry28,A,7,uniform_half_1,0.006396342685994538,578,1066
asymmetry28,A,17,uniform_half_1,0.0040104770968286685,670,972
asymmetry28,A,37,uniform_half_1,0.0060270252587024675,679,1142
asymmetry28,A,7,uniform_half_2,0.005370983612157931,577,987
asymmetry28,A,17,uniform_half_2,0.003608895528933509,719,990
asymmetry28,A,37,uniform_half_2,0.006000653206716944,635,1095
asymmetry28,A,7,uniform_quarter_0,0.012415488454120993,789,1730
asymmetry28,A,17,uniform_quarter_0,0.014066287365049224,866,1920
asymmetry28,A,37,uniform_quarter_0,0.016587772061556705,830,2086
asymmetry28,A,7,uniform_quarter_1,0.010405276576234912,850,1638
asymmetry28,A,17,uniform_quarter_1,0.013300481983675061,931,1925
asymmetry28,A,37,uniform_quarter_1,0.01590565299066682,844,2048
asymmetry28,A,7,uniform_quarter_2,0.011663491023232164,798,1682
asymmetry28,A,17,uniform_quarter_2,0.01322386819136534,937,1925
asymmetry28,A,37,uniform_quarter_2,0.01677815648190495,821,2091
asymmetry28,A,7,central_half,0.02164035554872079,361,2051
asymmetry28,A,17,central_half,0.016677280844288878,561,1863
asymmetry28,A,37,central_half,0.020545456257926697,495,2101
asymmetry28,A,7,xy_fraction6,0.005420196679072675,405,819
asymmetry28,A,17,xy_fraction6,0.0015545472719304954,521,637
asymmetry28,A,37,xy_fraction6,0.004839653288296719,436,808
asymmetry28,A,7,xy_fraction4,0.005447478513469051,396,812
asymmetry28,A,17,xy_fraction4,0.0015652632294682611,524,641
asymmetry28,A,37,xy_fraction4,0.004786087649440551,448,816
asymmetry28,A,7,kept_single,0.0099048216569122,1123,1867
asymmetry28,A,17,kept_single,0.011890929673316841,1246,2120
asymmetry28,A,37,kept_single,0.014535201351110416,1152,2235
asymmetry28,A,7,sparse_single,0.033728175447626185,1239,4498
asymmetry28,A,17,sparse_single,0.038429953785382165,1088,4796
asymmetry28,A,37,sparse_single,0.05429597056820801,1089,6317
