tag,reference,condition,seed,delta,low,high
asymmetry28,A,clean,7,0.005420420843370022,0.002223882432557278,0.010666047962100734
asymmetry28,A,clean,17,0.001356936893459948,-0.0019828979813891674,0.005237498941744791
asymmetry28,A,clean,37,0.004839695289921564,0.0018383941179724416,0.011303027597326256
asymmetry28,A,clean,mean3,0.0038723510089171778,0.001329531079398492,0.008036880583611919
asymmetry28,A,uniform_half_0,7,0.005395697898157414,0.002981872481365111,0.00939823386106657
asymmetry28,A,uniform_half_0,17,0.003981325199539532,0.00047489008644414633,0.007989125719798882
asymmetry28,A,uniform_half_0,37,0.005790313308565609,0.002999074462208179,0.011855785790591883
asymmetry28,A,uniform_half_0,mean3,0.005055778802087518,0.003034826119103061,0.008569452266498079
asymmetry28,A,uniform_half_1,7,0.006396342685994538,0.004042104649860487,0.011237818341613776
asymmetry28,A,uniform_half_1,17,0.0040104770968286685,0.0011731227837722736,0.007947357679818504
asymmetry28,A,uniform_half_1,37,0.0060270252587024675,0.0032990528839484832,0.011680208958476991
asymmetry28,A,uniform_half_1,mean3,0.005477948347175225,0.0036558999016876787,0.008968774258125346
asymmetry28,A,uniform_half_2,7,0.005370983612157931,0.0029575087145689042,0.009324287597646736
asymmetry28,A,uniform_half_2,17,0.003608895528933509,0.00019376548923633052,0.00812989866473592
asymmetry28,A,uniform_half_2,37,0.006000653206716944,0.003107795041544947,0.011830601568412608
asymmetry28,A,uniform_half_2,mean3,0.004993510782602795,0.0030508111353343024,0.00836048813732621
asymmetry28,A,uniform_quarter_0,7,0.012415488454120993,0.00836267608563225,0.0182886404272235
asymmetry28,A,uniform_quarter_0,17,0.014066287365049224,0.008297793805991185,0.022900720437188334
asymmetry28,A,uniform_quarter_0,37,0.016587772061556705,0.012162685013180788,0.025006518064398606
asymmetry28,A,uniform_quarter_0,mean3,0.014356515960242308,0.010291154696832833,0.021384161144421876
asymmetry28,A,uniform_quarter_1,7,0.010405276576234912,0.007347627927849512,0.015365204169249656
asymmetry28,A,uniform_quarter_1,17,0.013300481983675061,0.007623531918020882,0.02213980285655792
asymmetry28,A,uniform_quarter_1,37,0.01590565299066682,0.012124916178633377,0.023248620227684005
asymmetry28,A,uniform_quarter_1,mean3,0.013203803850192264,0.00997073904192909,0.019374469766824217
asymmetry28,A,uniform_quarter_2,7,0.011663491023232164,0.008057610188816233,0.017600770481305122
asymmetry28,A,uniform_quarter_2,17,0.01322386819136534,0.007138094088475133,0.022159140917863474
asymmetry28,A,uniform_quarter_2,37,0.01677815648190495,0.012968124944484563,0.02442820878605588
asymmetry28,A,uniform_quarter_2,mean3,0.013888505232167484,0.0100432721092906,0.02067755316945553
asymmetry28,A,central_half,7,0.02164035554872079,0.011819912188908575,0.04203161542326425
asymmetry28,A,central_half,17,0.016677280844288878,0.009203491530103344,0.03238762157398579
asymmetry28,A,central_half,37,0.020545456257926697,0.011335861452088297,0.040039782018009125
asymmetry28,A,central_half,mean3,0.019621030883645457,0.010880984739271442,0.037848284494778436
asymmetry28,A,xy_fraction6,7,0.005420196679072675,0.0022169976925777656,0.010647580280101314
asymmetry28,A,xy_fraction6,17,0.0015545472719304954,-0.0017503337777933891,0.005622256209632252
asymmetry28,A,xy_fraction6,37,0.004839653288296719,0.0018715497429132172,0.011228903237580943
asymmetry28,A,xy_fraction6,mean3,0.0039381324130999635,0.0013914528635993464,0.008042114114820326
asymmetry28,A,xy_fraction4,7,0.005447478513469051,0.002306700225615721,0.010689132019402438
asymmetry28,A,xy_fraction4,17,0.0015652632294682611,-0.0017682547521724185,0.005560393961661852
asymmetry28,A,xy_fraction4,37,0.004786087649440551,0.0018224002318794092,0.01143241261803776
asymmetry28,A,xy_fraction4,mean3,0.003932943130792621,0.0013980381425418669,0.008120753371375087
asymmetry28,A,kept_single,7,0.0099048216569122,0.002535284243134348,0.017682949773534646
asymmetry28,A,kept_single,17,0.011890929673316841,-0.0008102222538977687,0.025636938382023047
asymmetry28,A,kept_single,37,0.014535201351110416,0.006604377176607066,0.0255670688743496
asymmetry28,A,kept_single,mean3,0.012110317560446485,0.003449988434374225,0.02254997377465569
asymmetry28,A,sparse_single,7,0.033728175447626185,0.02318851478594538,0.05095572090016051
asymmetry28,A,sparse_single,17,0.038429953785382165,0.023894177657737447,0.06157151578464054
asymmetry28,A,sparse_single,37,0.05429597056820801,0.040359812305934994,0.0802885610206272
asymmetry28,A,sparse_single,mean3,0.04215136660040545,0.030254942948659613,0.06341988797856286
asymmetry28,A,sparse_context,7,0.016114813670263795,0.009037994916928162,0.028119026591475534
asymmetry28,A,sparse_context,17,0.02521035494028001,0.01791823362031026,0.039224473515693116
asymmetry28,A,sparse_context,37,0.027359701630981892,0.016275583003472892,0.04429884651544097
asymmetry28,A,sparse_context,mean3,0.022894956747175232,0.015160957836661335,0.03693978430490951
asymmetry28,A,composite,7,0.01767970350556891,0.012939531665187059,0.02745240627213315
asymmetry28,A,composite,17,0.0190409477953547,0.014274288352623354,0.028039709841670122
asymmetry28,A,composite,37,0.024692936851682723,0.018438156877352077,0.037089715772744204
asymmetry28,A,composite,mean3,0.02047119605086878,0.015533920582643168,0.030492321520174646
asymmetry28,B,clean,7,0.005781066269569202,0.0020706849551207994,0.010532978543948607
asymmetry28,B,clean,17,0.0005385988094852578,-0.0019190328948738068,0.0031288937000723627
asymmetry28,B,clean,37,0.004305847229012394,0.002495179211055176,0.008570209969450411
asymmetry28,B,clean,mean3,0.0035418374360222846,0.0016337668877260533,0.006272277690079719
asymmetry28,B,uniform_half_0,7,0.004767523857620137,0.00043667782506436883,0.009762075443717742
asymmetry28,B,uniform_half_0,17,0.00013315761707644036,-0.0029910224358725562,0.00306165825517845
asymmetry28,B,uniform_half_0,37,0.0023117748488891143,-0.00027894727551383834,0.006172939135316009
asymmetry28,B,uniform_half_0,mean3,0.0024041521078618975,-0.00014697852008358213,0.005370822187723566
asymmetry28,B,uniform_half_1,7,0.004615092620010142,0.000824269423019855,0.009348306735362308
asymmetry28,B,uniform_half_1,17,0.0010107169331758925,-0.00132446135297139,0.003319169340977519
asymmetry28,B,uniform_half_1,37,0.002314786103348676,-0.00024147646720386047,0.00599327938062187
asymmetry28,B,uniform_half_1,mean3,0.0026468652188449036,0.0007079135299036652,0.005213556669105262
asymmetry28,B,uniform_half_2,7,0.004482531255529554,0.0007087259361269138,0.009266440131186908
asymmetry28,B,uniform_half_2,17,0.0006156065237756803,-0.0021781501325122492,0.003174867767082772
asymmetry28,B,uniform_half_2,37,0.002877121023143858,0.0004460627054777511,0.006596413141324234
asymmetry28,B,uniform_half_2,mean3,0.002658419600816364,0.0006554756429832822,0.0050958779285266405
asymmetry28,B,uniform_quarter_0,7,0.001357627713190812,-0.0023708046870509368,0.005167370393818945
asymmetry28,B,uniform_quarter_0,17,-0.00043400534564530524,-0.002803115243681409,0.001591675150712061
asymmetry28,B,uniform_quarter_0,37,0.0019340283145026227,-0.0007419908123502516,0.005753745458207737
asymmetry28,B,uniform_quarter_0,mean3,0.0009525502273493766,-0.0012767448159662076,0.0033518427786420717
asymmetry28,B,uniform_quarter_1,7,0.0002108907473196142,-0.0035321068981044703,0.003701324929496988
asymmetry28,B,uniform_quarter_1,17,-0.0017386292627168398,-0.0050265144324664526,0.0006504655522963536
asymmetry28,B,uniform_quarter_1,37,0.001433304082134934,-0.0010363386512202255,0.004407601848252429
asymmetry28,B,uniform_quarter_1,mean3,-3.147814442076383e-05,-0.002469002594036459,0.0024296485565744297
asymmetry28,B,uniform_quarter_2,7,0.0012211622920046405,-0.002648438134311845,0.005244897887226897
asymmetry28,B,uniform_quarter_2,17,-0.0010601152854113893,-0.0037090055704957076,0.0011996201674643713
asymmetry28,B,uniform_quarter_2,37,0.0015211789396720743,-0.000963204068520121,0.00461484831560393
asymmetry28,B,uniform_quarter_2,mean3,0.0005607419820884418,-0.001784914622852543,0.0028693026756575726
asymmetry28,B,central_half,7,0.0017214158761991172,-0.00026375549717935206,0.0044816458631345545
asymmetry28,B,central_half,17,0.0011902542943375005,-0.0002410040353291315,0.003339785744318526
asymmetry28,B,central_half,37,0.003948811078805736,0.0015785000789410003,0.008849304255636962
asymmetry28,B,central_half,mean3,0.002286827083114118,0.0007610918981150313,0.0051757771959057355
asymmetry28,B,xy_fraction6,7,0.005822403390722819,0.002173013204263111,0.01045347188927618
asymmetry28,B,xy_fraction6,17,0.0008016536915331773,-0.0014998865013597373,0.003424251259316492
asymmetry28,B,xy_fraction6,37,0.004161511461553857,0.002319612084001929,0.008423996243151521
asymmetry28,B,xy_fraction6,mean3,0.0035951895146032844,0.0016949019921383183,0.0062990537810875755
asymmetry28,B,xy_fraction4,7,0.005926672273616318,0.002207915280577241,0.010676970880645715
asymmetry28,B,xy_fraction4,17,0.0007482570197754335,-0.0016448744537562482,0.0034148534039512637
asymmetry28,B,xy_fraction4,37,0.0041740725164027825,0.0023198454152380116,0.00859224234302882
asymmetry28,B,xy_fraction4,mean3,0.003616333936598178,0.001754170772533912,0.006364899378877898
asymmetry28,B,kept_single,7,-0.00421698805646209,-0.007597770801972481,-0.0017915426930581904
asymmetry28,B,kept_single,17,-0.0028564667736273863,-0.005671906959067075,-0.00025445362547362143
asymmetry28,B,kept_single,37,-0.0008074514978807512,-0.00528727685425191,0.004147558772125836
asymmetry28,B,kept_single,mean3,-0.002626968775990076,-0.005648557810856167,-6.087199463754573e-05
asymmetry28,B,sparse_single,7,0.004263436973918511,-0.0031627628214844464,0.015224668702541811
asymmetry28,B,sparse_single,17,0.011335087460262017,-0.001716127748160942,0.033894244407193415
asymmetry28,B,sparse_single,37,0.01347426670889773,-0.0007521691353704783,0.03805997435446909
asymmetry28,B,sparse_single,mean3,0.009690930381026086,-0.0014772968700742489,0.02870172646742947
asymmetry28,B,sparse_context,7,0.008267918570417865,0.001261757346192796,0.019422915244758098
asymmetry28,B,sparse_context,17,0.0060885019360512604,-0.0010109045166111718,0.017904961769819115
asymmetry28,B,sparse_context,37,0.00501410271673608,-0.00014174011733204817,0.013563021716898131
asymmetry28,B,sparse_context,mean3,0.006456841074401735,0.000548555421210048,0.01659084170579898
asymmetry28,B,composite,7,0.0041927462548555505,0.0010897676297925234,0.009970705397114189
asymmetry28,B,composite,17,0.003614971840442349,-0.000542934623183483,0.010743767928220543
asymmetry28,B,composite,37,0.005674506302444371,0.0028617520542813914,0.012159120066215803
asymmetry28,B,composite,mean3,0.004494074799247423,0.0014354343866234975,0.010701461114963255
asymmetry28,base16,clean,7,0.004443574940264816,0.0009091404654734737,0.009940440842513996
asymmetry28,base16,clean,17,0.0026203969461500165,0.0006920499103296313,0.005930436408307815
asymmetry28,base16,clean,37,0.0028832177869592135,0.0012685330852568566,0.005488722415359277
asymmetry28,base16,clean,mean3,0.003315729891124682,0.0013060375375111483,0.006734136159232534
asymmetry28,base16,uniform_half_0,7,0.0034710752637268083,0.0005653493328266895,0.008971219504093169
asymmetry28,base16,uniform_half_0,17,0.0019166152412531945,-0.00028883244314134305,0.00564286767235614
asymmetry28,base16,uniform_half_0,37,0.001991389133786714,-0.0004350475330550357,0.0046481631972070635
asymmetry28,base16,uniform_half_0,mean3,0.002459693212922239,0.0006586999215301805,0.005922640426307947
asymmetry28,base16,uniform_half_1,7,0.003316090478388878,-0.00013196202351944963,0.009523268783793502
asymmetry28,base16,uniform_half_1,17,0.002221161927311699,-7.88190062261551e-05,0.006252133079126845
asymmetry28,base16,uniform_half_1,37,0.000955461136443958,-0.001283038167070985,0.0035159925120568
asymmetry28,base16,uniform_half_1,mean3,0.0021642378473815116,0.00018300439164398074,0.005806605984663515
asymmetry28,base16,uniform_half_2,7,0.0036985581148302193,0.0004295197164604525,0.009773947280186185
asymmetry28,base16,uniform_half_2,17,0.0022020863577956185,8.746260755210789e-05,0.006084563552871558
asymmetry28,base16,uniform_half_2,37,0.0019610586396818785,-0.0003645903615772383,0.004613901021057792
asymmetry28,base16,uniform_half_2,mean3,0.002620567704102572,0.0008609599214189106,0.0061514609620980775
asymmetry28,base16,uniform_quarter_0,7,0.0021879893181696586,-0.0008009823052594123,0.0068596041199575014
asymmetry28,base16,uniform_quarter_0,17,0.0023275426394628873,-0.0002544631189536128,0.006618171071270684
asymmetry28,base16,uniform_quarter_0,37,0.001986603421426203,-0.0011750758526339888,0.0053927280991030195
asymmetry28,base16,uniform_quarter_0,mean3,0.0021673784596862498,0.00038496184878031395,0.005182542187471522
asymmetry28,base16,uniform_quarter_1,7,0.001495621818649151,-0.0018971610586728193,0.006618821327060112
asymmetry28,base16,uniform_quarter_1,17,0.0013492804283268267,-0.0009348299049154906,0.0047001202275043855
asymmetry28,base16,uniform_quarter_1,37,0.0009838825058231526,-0.002704847573208335,0.0045338978037093285
asymmetry28,base16,uniform_quarter_1,mean3,0.0012762615842663767,-0.0006334958452162827,0.0039560075465786245
asymmetry28,base16,uniform_quarter_2,7,0.00276433399077769,-0.0002970801803320516,0.008000919719819408
asymmetry28,base16,uniform_quarter_2,17,0.0021992429438850714,-0.0005195542171550271,0.006770278073673702
asymmetry28,base16,uniform_quarter_2,37,0.0020800368737774466,-0.0012929733136829269,0.005354486325441251
asymmetry28,base16,uniform_quarter_2,mean3,0.0023478712694800694,0.0004080953777759392,0.005625210924236855
asymmetry28,base16,central_half,7,0.010044411047831936,0.004560220997893882,0.020965673688615172
asymmetry28,base16,central_half,17,0.005635017548037746,0.0023668499591440436,0.011903844436923132
asymmetry28,base16,central_half,37,0.003767424463101632,0.001755278552224765,0.007857287857919922
asymmetry28,base16,central_half,mean3,0.006482284352990438,0.00323902738583851,0.013213095830161507
asymmetry28,base16,xy_fraction6,7,0.004405013012225734,0.0008694740797862754,0.009934480104655061
asymmetry28,base16,xy_fraction6,17,0.002818079648033822,0.0009475231957572023,0.006222474677444208
asymmetry28,base16,xy_fraction6,37,0.0028566643513846524,0.0011728051139172386,0.005478181716529178
asymmetry28,base16,xy_fraction6,mean3,0.003359919003881403,0.001328214645094326,0.006792355198877113
asymmetry28,base16,xy_fraction4,7,0.004587795335923239,0.0010227370155349192,0.010224139598882834
asymmetry28,base16,xy_fraction4,17,0.0029089840147722423,0.0010219047160024114,0.006280478308022192
asymmetry28,base16,xy_fraction4,37,0.002935296616956684,0.0013455683900417792,0.005515705764460481
asymmetry28,base16,xy_fraction4,mean3,0.0034773586558840552,0.0014188068736651553,0.00692986435919776
asymmetry28,base16,kept_single,7,-0.0012302675327243717,-0.006994151272314011,0.005368885252366619
asymmetry28,base16,kept_single,17,-0.00132487618788113,-0.004746341217071151,0.0022335015484026047
asymmetry28,base16,kept_single,37,-0.0018863295199071928,-0.0050845537202963195,0.0010912465919518796
asymmetry28,base16,kept_single,mean3,-0.0014804910801708981,-0.005119214333700142,0.002194504433347865
asymmetry28,base16,sparse_single,7,-0.0036765419660172993,-0.01139436528385234,0.0010150702543143427
asymmetry28,base16,sparse_single,17,-0.002832548886456898,-0.007893596166912136,-0.00014206142794099698
asymmetry28,base16,sparse_single,37,-0.0031221957761461416,-0.006749906624053631,-0.0005343776815910929
asymmetry28,base16,sparse_single,mean3,-0.00321042887620678,-0.008319350509847894,-0.00028913382468227506
asymmetry28,base16,sparse_context,7,0.001159786231692883,-0.0055833148648460115,0.00647886304584549
asymmetry28,base16,sparse_context,17,0.0021574730128723907,-0.0003566501145494699,0.004866107553549713
asymmetry28,base16,sparse_context,37,0.0003031785854119562,-0.004016920540023186,0.004164172021318704
asymmetry28,base16,sparse_context,mean3,0.00120681260999241,-0.002747105091114062,0.004515515104239241
asymmetry28,base16,composite,7,0.002824109059261004,-0.0015556674860483287,0.008608376383300326
asymmetry28,base16,composite,17,0.0019078054582323256,-0.00035593207832231857,0.005196497865154764
asymmetry28,base16,composite,37,0.0011030265319338373,-0.0008336764250953559,0.0034133817661851596
asymmetry28,base16,composite,mean3,0.0019449803498090557,-0.0005050644333934428,0.005353831357922648
asymmetry28,combined23,clean,7,0.0010451657551149296,-0.001422158796377801,0.004774932063561034
asymmetry28,combined23,clean,17,-0.0014563933884185198,-0.003353180734595759,3.1148567740762125e-05
asymmetry28,combined23,clean,37,-6.53327440031104e-05,-0.0011947575765081596,0.00108508429803496
asymmetry28,combined23,clean,mean3,-0.00015885345910223356,-0.0012003131848065036,0.0011236622139650103
asymmetry28,combined23,uniform_half_0,7,0.001324290703412112,-0.001045523473037721,0.0050535941299653326
asymmetry28,combined23,uniform_half_0,17,-0.0008394666824136365,-0.0021997573428197774,0.00018390052731560277
asymmetry28,combined23,uniform_half_0,37,-7.637257018844323e-05,-0.0015105130540411515,0.0016195918424445081
