group,label,feature,samples,mean,q10,median,q90,zero_fraction
N1,0,inverse_retained_count,49126,1.0,1.0,1.0,1.0,0.0
N1,0,IQR_over_range_x,49126,0.0,0.0,0.0,0.0,1.0
N1,0,IQR_over_range_y,49126,0.0,0.0,0.0,0.0,1.0
N1,0,IQR_over_range_vr,49126,0.0,0.0,0.0,0.0,1.0
N1,0,IQR_over_range_rcs,49126,0.0,0.0,0.0,0.0,1.0
N1,0,quartile_asymmetry_x,49126,0.0,0.0,0.0,0.0,1.0
N1,0,quartile_asymmetry_y,49126,0.0,0.0,0.0,0.0,1.0
N1,0,quartile_asymmetry_vr,49126,0.0,0.0,0.0,0.0,1.0
N1,0,quartile_asymmetry_rcs,49126,0.0,0.0,0.0,0.0,1.0
N1,0,median_position_x,49126,0.0,0.0,0.0,0.0,1.0
N1,0,median_position_y,49126,0.0,0.0,0.0,0.0,1.0
N1,0,median_position_vr,49126,0.0,0.0,0.0,0.0,1.0
N1,0,median_position_rcs,49126,0.0,0.0,0.0,0.0,1.0
N1,1,inverse_retained_count,53219,1.0,1.0,1.0,1.0,0.0
N1,1,IQR_over_range_x,53219,0.0,0.0,0.0,0.0,1.0
N1,1,IQR_over_range_y,53219,0.0,0.0,0.0,0.0,1.0
N1,1,IQR_over_range_vr,53219,0.0,0.0,0.0,0.0,1.0
N1,1,IQR_over_range_rcs,53219,0.0,0.0,0.0,0.0,1.0
N1,1,quartile_asymmetry_x,53219,0.0,0.0,0.0,0.0,1.0
N1,1,quartile_asymmetry_y,53219,0.0,0.0,0.0,0.0,1.0
N1,1,quartile_asymmetry_vr,53219,0.0,0.0,0.0,0.0,1.0
N1,1,quartile_asymmetry_rcs,53219,0.0,0.0,0.0,0.0,1.0
N1,1,median_position_x,53219,0.0,0.0,0.0,0.0,1.0
N1,1,median_position_y,53219,0.0,0.0,0.0,0.0,1.0
N1,1,median_position_vr,53219,0.0,0.0,0.0,0.0,1.0
N1,1,median_position_rcs,53219,0.0,0.0,0.0,0.0,1.0
N2,0,inverse_retained_count,11212,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.0
N2,0,IQR_over_range_x,11212,0.5011503422935494,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.005529789511237959
N2,0,IQR_over_range_y,11212,0.5013301271697085,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.005173028897609704
N2,0,IQR_over_range_vr,11212,0.5027684061789814,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.00231894398858366
N2,0,IQR_over_range_rcs,11212,0.5038471154359362,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.00017838030681412772
N2,0,quartile_asymmetry_x,11212,0.0,0.0,0.0,0.0,1.0
N2,0,quartile_asymmetry_y,11212,0.0,0.0,0.0,0.0,1.0
N2,0,quartile_asymmetry_vr,11212,0.0,0.0,0.0,0.0,1.0
N2,0,quartile_asymmetry_rcs,11212,0.0,0.0,0.0,0.0,1.0
N2,0,median_position_x,11212,0.0,0.0,0.0,0.0,1.0
N2,0,median_position_y,11212,0.0,0.0,0.0,0.0,1.0
N2,0,median_position_vr,11212,0.0,0.0,0.0,0.0,1.0
N2,0,median_position_rcs,11212,0.0,0.0,0.0,0.0,1.0
N2,1,inverse_retained_count,18301,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.0
N2,1,IQR_over_range_x,18301,0.5034688952499046,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.0009289109884705754
N2,1,IQR_over_range_y,18301,0.5026703501852444,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.0025135238511556747
N2,1,IQR_over_range_vr,18301,0.4769516918958432,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.05354898639418611
N2,1,IQR_over_range_rcs,18301,0.5038543997638785,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.00016392546855363094
N2,1,quartile_asymmetry_x,18301,0.0,0.0,0.0,0.0,1.0
N2,1,quartile_asymmetry_y,18301,0.0,0.0,0.0,0.0,1.0
N2,1,quartile_asymmetry_vr,18301,0.0,0.0,0.0,0.0,1.0
N2,1,quartile_asymmetry_rcs,18301,0.0,0.0,0.0,0.0,1.0
N2,1,median_position_x,18301,0.0,0.0,0.0,0.0,1.0
N2,1,median_position_y,18301,0.0,0.0,0.0,0.0,1.0
N2,1,median_position_vr,18301,0.0,0.0,0.0,0.0,1.0
N2,1,median_position_rcs,18301,0.0,0.0,0.0,0.0,1.0
N3,0,inverse_retained_count,0,,,,,
N3,0,IQR_over_range_x,0,,,,,
N3,0,IQR_over_range_y,0,,,,,
N3,0,IQR_over_range_vr,0,,,,,
N3,0,IQR_over_range_rcs,0,,,,,
N3,0,quartile_asymmetry_x,0,,,,,
N3,0,quartile_asymmetry_y,0,,,,,
N3,0,quartile_asymmetry_vr,0,,,,,
N3,0,quartile_asymmetry_rcs,0,,,,,
N3,0,median_position_x,0,,,,,
N3,0,median_position_y,0,,,,,
N3,0,median_position_vr,0,,,,,
N3,0,median_position_rcs,0,,,,,
N3,1,inverse_retained_count,0,,,,,
N3,1,IQR_over_range_x,0,,,,,
N3,1,IQR_over_range_y,0,,,,,
N3,1,IQR_over_range_vr,0,,,,,
N3,1,IQR_over_range_rcs,0,,,,,
N3,1,quartile_asymmetry_x,0,,,,,
N3,1,quartile_asymmetry_y,0,,,,,
N3,1,quartile_asymmetry_vr,0,,,,,
N3,1,quartile_asymmetry_rcs,0,,,,,
N3,1,median_position_x,0,,,,,
N3,1,median_position_y,0,,,,,
N3,1,median_position_vr,0,,,,,
N3,1,median_position_rcs,0,,,,,
N4to8,0,inverse_retained_count,30400,0.19491504351429753,0.12598425196850394,0.1968503937007874,0.25196850393700787,0.0
N4to8,0,IQR_over_range_x,30400,0.4500546518856196,0.2125984251968504,0.3858267716535433,0.8188976377952756,0.00013157894736842105
N4to8,0,IQR_over_range_y,30400,0.44919990675507665,0.23622047244094488,0.4094488188976378,0.7480314960629921,0.0
N4to8,0,IQR_over_range_vr,30400,0.4325041442188148,0.23622047244094488,0.41732283464566927,0.6614173228346457,0.0
N4to8,0,IQR_over_range_rcs,30400,0.44330449647741405,0.25196850393700787,0.4251968503937008,0.6850393700787402,3.289473684210526e-05
N4to8,0,quartile_asymmetry_x,30400,-0.04646006009117281,-0.905511811023622,-0.03937007874015748,0.8661417322834646,0.0061842105263157894
N4to8,0,quartile_asymmetry_y,30400,-0.010958868628263571,-0.7480314960629921,0.0,0.7244094488188977,0.008980263157894738
N4to8,0,quartile_asymmetry_vr,30400,-0.018636811023622045,-0.5748031496062992,-0.015748031496062992,0.5196850393700787,0.010986842105263158
N4to8,0,quartile_asymmetry_rcs,30400,0.05597078325735599,-0.49606299212598426,0.05511811023622047,0.5984251968503937,0.009703947368421053
N4to8,0,median_position_x,30400,0.09244923331951926,-0.7874015748031497,0.11811023622047244,0.8976377952755905,0.004572368421052631
N4to8,0,median_position_y,30400,-0.0080804496477414,-0.7244094488188977,-0.007874015748031496,0.7165354330708661,0.005526315789473684
N4to8,0,median_position_vr,30400,0.01557915457936179,-0.4881889763779528,0.007874015748031496,0.5354330708661418,0.008289473684210527
N4to8,0,median_position_rcs,30400,-0.10405408205553253,-0.6220472440944882,-0.11811023622047244,0.4330708661417323,0.008026315789473683
N4to8,1,inverse_retained_count,23256,0.1906333883187202,0.12598425196850394,0.1968503937007874,0.25196850393700787,0.0
N4to8,1,IQR_over_range_x,23256,0.46238376549680515,0.23622047244094488,0.41732283464566927,0.8031496062992126,4.299965600275198e-05
N4to8,1,IQR_over_range_y,23256,0.4470190065251131,0.2125984251968504,0.41732283464566927,0.7322834645669292,0.0
N4to8,1,IQR_over_range_vr,23256,0.43296387487167814,0.023622047244094488,0.33858267716535434,0.9448818897637795,0.04355865153078775
N4to8,1,IQR_over_range_rcs,23256,0.5057971662210955,0.2677165354330709,0.5039370078740157,0.7637795275590551,0.0
N4to8,1,quartile_asymmetry_x,23256,-0.13018128925834735,-0.8346456692913385,-0.13385826771653545,0.6614173228346457,0.005847953216374269
N4to8,1,quartile_asymmetry_y,23256,0.031096200049297244,-0.6692913385826772,0.031496062992125984,0.6850393700787402,0.007911936704506364
N4to8,1,quartile_asymmetry_vr,23256,0.057564350508817974,-0.937007874015748,0.047244094488188976,0.9763779527559056,0.025799793601651185
