tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1
A,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.896551724137931,0.8901515151515151
A,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.9051724137931034,0.8988505747126436
A,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
B,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.9137931034482759,0.9076138897738133
B,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.9137931034482759,0.9076138897738133
B,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.9137931034482759,0.9076138897738133
base16,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
base16,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
base16,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
combined23,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
combined23,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
combined23,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8620689655172413,0.8559006211180125
core8,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.896551724137931,0.8901515151515151
core8,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
core8,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
proxy12,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
proxy12,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.853448275862069,0.8474510714009438
proxy12,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
distribution12,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.896551724137931,0.8901515151515151
distribution12,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
distribution12,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
combined15,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
combined15,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
combined15,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
support17,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
support17,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
support17,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
support24,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
support24,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
support24,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
width28,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
width28,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
width28,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
asymmetry28,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
asymmetry28,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
asymmetry28,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
quantile32,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.853448275862069,0.8474510714009438
quantile32,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
quantile32,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.881511746680286
full36,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
full36,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
full36,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
redundant36,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
redundant36,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8706896551724138,0.8643909282207154
redundant36,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,19,True,0.8879310344827587,0.8804597701149426
