tag,dim,observations,distinct_encoded_inputs,conflicting_inputs,observations_in_conflicting_inputs,unavoidable_train_errors,scope
base16,16,832362,785440,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
combined23,23,832362,829841,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
core8,8,832362,762661,24,48,24,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
proxy12,12,832362,776316,6,12,6,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
distribution12,12,832362,822928,23,46,23,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
combined15,15,832362,828636,23,46,23,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
support17,17,832362,785586,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
support24,24,832362,829841,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
width28,28,832362,830268,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
asymmetry28,28,832362,830432,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
quantile32,32,832362,830562,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
full36,36,832362,830663,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
redundant36,36,832362,829841,5,10,5,"Exact quantized-input empirical lower bound for deterministic classifiers using only these inputs; real kept+natural train, not augmented views, F1 bound or independent generalization"
