tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
geometry19,base16,7,clean,0.00040163583829133653,320,349
geometry19,base16,17,clean,0.0014003039096948111,325,433
geometry19,base16,37,clean,-0.0007608968426167095,437,382
geometry19,base16,7,uniform_half_0,-9.02406615785889e-05,413,405
geometry19,base16,17,uniform_half_0,0.0008595532298317776,435,504
geometry19,base16,37,uniform_half_0,-0.000270859500206555,491,473
geometry19,base16,7,uniform_half_1,-0.00014493541466320536,439,427
geometry19,base16,17,uniform_half_1,0.0011851962995274024,436,530
geometry19,base16,37,uniform_half_1,-0.0008505762766551905,503,441
geometry19,base16,7,uniform_half_2,0.0003768000791579684,419,447
geometry19,base16,17,uniform_half_2,0.0015274800140030464,420,540
geometry19,base16,37,uniform_half_2,1.7542557941840897e-05,487,491
geometry19,base16,7,uniform_quarter_0,-0.00034974670054854773,550,521
geometry19,base16,17,uniform_quarter_0,0.0012910752313444185,495,597
geometry19,base16,37,uniform_quarter_0,0.000496607216253997,567,607
geometry19,base16,7,uniform_quarter_1,-0.00041705177860229536,529,495
geometry19,base16,17,uniform_quarter_1,0.0012595807800150904,502,601
geometry19,base16,37,uniform_quarter_1,0.00024315290931231637,573,594
geometry19,base16,7,uniform_quarter_2,0.0001976519429193191,542,556
geometry19,base16,17,uniform_quarter_2,0.0016196283280510704,492,619
geometry19,base16,37,uniform_quarter_2,0.0005694065138970306,569,614
geometry19,base16,7,central_half,-0.00020093728509729125,498,482
geometry19,base16,17,central_half,0.0038031723080721447,305,602
geometry19,base16,37,central_half,0.00401059281915761,307,619
geometry19,base16,7,xy_fraction6,0.00041419776897155813,320,350
geometry19,base16,17,xy_fraction6,0.001321938704528569,327,429
geometry19,base16,37,xy_fraction6,-0.0006295940070499828,433,388
geometry19,base16,7,xy_fraction4,0.00018948707216970284,329,342
geometry19,base16,17,xy_fraction4,0.0013356257542518346,337,440
geometry19,base16,37,xy_fraction4,-0.0007730057696822001,431,375
geometry19,base16,7,kept_single,-0.003531230267079577,801,528
geometry19,base16,17,kept_single,0.000996251257754821,591,669
geometry19,base16,37,kept_single,-9.7996784390042e-05,706,704
geometry19,base16,7,sparse_single,-0.006002464625061488,1124,538
geometry19,base16,17,sparse_single,-0.00214027842511344,782,574
geometry19,base16,37,sparse_single,-0.002602891433650667,891,635
geometry19,base16,7,sparse_context,0.00034206574442108284,539,573
geometry19,base16,17,sparse_context,-0.000690971384248118,614,546
geometry19,base16,37,sparse_context,-0.0017186837174544278,777,608
distribution20,base16,7,clean,0.00336268327157907,331,588
distribution20,base16,17,clean,0.003995525164509961,288,593
distribution20,base16,37,clean,0.003507202049062519,317,583
distribution20,base16,7,uniform_half_0,0.0019092637178612648,464,612
distribution20,base16,17,uniform_half_0,0.003382985355152246,355,615
distribution20,base16,37,uniform_half_0,0.0020404870218495574,483,635
distribution20,base16,7,uniform_half_1,0.0011410043379234125,524,614
distribution20,base16,17,uniform_half_1,0.0035400150591341495,383,655
distribution20,base16,37,uniform_half_1,0.0012467098851973724,528,620
distribution20,base16,7,uniform_half_2,0.001910855346350493,507,655
distribution20,base16,17,uniform_half_2,0.003759480586057573,374,663
distribution20,base16,37,uniform_half_2,0.0017025985030552082,500,627
distribution20,base16,7,uniform_quarter_0,0.00022741983362795093,653,673
distribution20,base16,17,uniform_quarter_0,0.0025276093537782707,551,747
distribution20,base16,37,uniform_quarter_0,0.0005729560439011738,656,693
distribution20,base16,7,uniform_quarter_1,-0.0004149904693631079,680,652
distribution20,base16,17,uniform_quarter_1,0.0017606387594812922,546,683
distribution20,base16,37,uniform_quarter_1,0.000374331499689573,658,681
distribution20,base16,7,uniform_quarter_2,-0.00043477871736685714,721,691
distribution20,base16,17,uniform_quarter_2,0.0027956949180102386,520,737
distribution20,base16,37,uniform_quarter_2,0.0009113676305474439,653,716
distribution20,base16,7,central_half,0.004992792155766201,438,828
distribution20,base16,17,central_half,0.0056649864704459985,401,842
distribution20,base16,37,central_half,0.0025462148345385405,511,707
distribution20,base16,7,xy_fraction6,0.0033236076881593135,332,586
distribution20,base16,17,xy_fraction6,0.003943173982292936,289,590
distribution20,base16,37,xy_fraction6,0.0036118303636557547,313,587
distribution20,base16,7,xy_fraction4,0.0034144831267188813,330,591
distribution20,base16,17,xy_fraction4,0.004022874049931957,290,597
distribution20,base16,37,xy_fraction4,0.0036911561294283857,308,588
distribution20,base16,7,kept_single,-0.00380150206983354,1066,783
distribution20,base16,17,kept_single,-0.0012331361544986041,790,699
distribution20,base16,37,kept_single,-0.0016010785160487373,862,733
distribution20,base16,7,sparse_single,-0.004914113428819311,1153,669
distribution20,base16,17,sparse_single,-0.0017945076922196712,841,664
distribution20,base16,37,sparse_single,-0.001441727208913668,873,734
distribution20,base16,7,sparse_context,0.0017574422546848822,638,807
distribution20,base16,17,sparse_context,0.0016171581406658753,549,705
distribution20,base16,37,sparse_context,0.0028429135755426715,578,856
combined23,base16,7,clean,0.0033984091851498865,320,578
combined23,base16,17,clean,0.004076790334568536,356,667
combined23,base16,37,clean,0.002948550530962324,421,645
combined23,base16,7,uniform_half_0,0.0021467845603146962,449,613
combined23,base16,17,uniform_half_0,0.002756081923666831,494,707
combined23,base16,37,uniform_half_0,0.0020677617039751572,549,704
combined23,base16,7,uniform_half_1,0.0028364636270319377,463,680
combined23,base16,17,uniform_half_1,0.0026822113569809902,523,731
combined23,base16,37,uniform_half_1,0.0014007237121342886,564,669
combined23,base16,7,uniform_half_2,0.0027034109324095557,469,676
combined23,base16,17,uniform_half_2,0.0029890412472266537,498,729
combined23,base16,37,uniform_half_2,0.002262002325852608,539,709
combined23,base16,7,uniform_quarter_0,0.0017623298556029843,623,758
combined23,base16,17,uniform_quarter_0,0.002136122064166468,678,848
combined23,base16,37,uniform_quarter_0,0.0018615839747413432,673,811
combined23,base16,7,uniform_quarter_1,0.0009304569803105789,640,712
combined23,base16,17,uniform_quarter_1,0.0025633026016549376,651,853
combined23,base16,37,uniform_quarter_1,0.00018893641864359267,754,765
combined23,base16,7,uniform_quarter_2,0.0018387828408166218,640,782
combined23,base16,17,uniform_quarter_2,0.0025888667588866987,653,858
combined23,base16,37,uniform_quarter_2,0.0011422982685658223,719,802
combined23,base16,7,central_half,0.0059693684228789845,423,888
combined23,base16,17,central_half,0.007124302025941609,402,957
combined23,base16,37,central_half,0.0044194957811448665,492,834
combined23,base16,7,xy_fraction6,0.003425082830535109,321,581
combined23,base16,17,xy_fraction6,0.004023872489668512,357,664
combined23,base16,37,xy_fraction6,0.003079682211031165,417,651
combined23,base16,7,xy_fraction4,0.0033843896543325203,328,585
combined23,base16,17,xy_fraction4,0.004169892761154426,354,672
combined23,base16,37,xy_fraction4,0.0031334217343260695,421,659
combined23,base16,7,kept_single,-0.0018413271006573195,982,842
combined23,base16,17,kept_single,0.00029419005261921427,874,908
combined23,base16,37,kept_single,-0.0009817026205845014,919,841
combined23,base16,7,sparse_single,-0.004732118914592243,1091,628
combined23,base16,17,sparse_single,-0.0025668866528585355,917,665
combined23,base16,37,sparse_single,-0.0006808545783069109,839,774
combined23,base16,7,sparse_context,0.0025104876886137273,535,779
combined23,base16,17,sparse_context,0.0011584771455168674,719,830
combined23,base16,37,sparse_context,0.0009934721991806672,773,870
redundant23,base16,7,clean,0.00020423449177564557,257,273
redundant23,base16,17,clean,0.00018002116993642847,281,295
redundant23,base16,37,clean,-0.00011976047166961656,298,288
redundant23,base16,7,uniform_half_0,-0.00032317083565525095,366,343
redundant23,base16,17,uniform_half_0,-0.000259612391441677,387,369
redundant23,base16,37,uniform_half_0,-0.00035622437464422063,376,347
redundant23,base16,7,uniform_half_1,-0.00026898103979777765,358,339
redundant23,base16,17,uniform_half_1,-0.00032457572379918087,388,365
redundant23,base16,37,uniform_half_1,-0.0010934941237914497,388,303
redundant23,base16,7,uniform_half_2,-0.0009619592858935988,392,320
redundant23,base16,17,uniform_half_2,6.13236019865182e-05,354,360
redundant23,base16,37,uniform_half_2,-0.0010199030271604848,380,301
redundant23,base16,7,uniform_quarter_0,-4.718242262147232e-05,437,435
redundant23,base16,17,uniform_quarter_0,-1.0320041769817934e-05,441,442
