tag,reference,condition,seed,delta,low,high
geometry19,base16,clean,7,0.00040163583829133653,-0.0016795422610886318,0.0023323834168823654
geometry19,base16,clean,17,0.0014003039096948111,-0.0008169950521169283,0.0046994278010100456
geometry19,base16,clean,37,-0.0007608968426167095,-0.003666797676250996,0.002289857540553559
geometry19,base16,clean,mean3,0.0003470143017898127,-0.0012812525139355112,0.0025577317531017816
geometry19,base16,uniform_half_0,7,-9.02406615785889e-05,-0.0018059606611909751,0.0014953914524569278
geometry19,base16,uniform_half_0,17,0.0008595532298317776,-0.0022742392662025296,0.0049582522668942825
geometry19,base16,uniform_half_0,37,-0.000270859500206555,-0.002825802350514631,0.002332002516891998
geometry19,base16,uniform_half_0,mean3,0.00016615102268221124,-0.0018137505180295674,0.0025569323174664473
geometry19,base16,uniform_half_1,7,-0.00014493541466320536,-0.002327618508255888,0.0016448506460355738
geometry19,base16,uniform_half_1,17,0.0011851962995274024,-0.0018450894913136532,0.005252492101133678
geometry19,base16,uniform_half_1,37,-0.0008505762766551905,-0.003284552662202561,0.0015838269116800205
geometry19,base16,uniform_half_1,mean3,6.322820273633549e-05,-0.0020022963450290355,0.002457386017509865
geometry19,base16,uniform_half_2,7,0.0003768000791579684,-0.0016831629898725164,0.002209132702507331
geometry19,base16,uniform_half_2,17,0.0015274800140030464,-0.001744157137847402,0.005925261677614901
geometry19,base16,uniform_half_2,37,1.7542557941840897e-05,-0.0026001607323076882,0.0028755819614517276
geometry19,base16,uniform_half_2,mean3,0.0006406075503676186,-0.0015069626913880863,0.0033250035447892827
geometry19,base16,uniform_quarter_0,7,-0.00034974670054854773,-0.002860913569217571,0.001489008776296615
geometry19,base16,uniform_quarter_0,17,0.0012910752313444185,-0.0008719610475374062,0.0044301102029134145
geometry19,base16,uniform_quarter_0,37,0.000496607216253997,-0.001078990766352661,0.002200126273790687
geometry19,base16,uniform_quarter_0,mean3,0.00047931191568328924,-0.0009149008843367418,0.0020692517150350887
geometry19,base16,uniform_quarter_1,7,-0.00041705177860229536,-0.002171612352168911,0.0009273895731409028
geometry19,base16,uniform_quarter_1,17,0.0012595807800150904,-0.0005025068315891223,0.003981487306152041
geometry19,base16,uniform_quarter_1,37,0.00024315290931231637,-0.00182818945269326,0.0023681059639742833
geometry19,base16,uniform_quarter_1,mean3,0.00036189397024170383,-0.0008903955355768406,0.0018787998028749787
geometry19,base16,uniform_quarter_2,7,0.0001976519429193191,-0.0019741371458228685,0.001938070829436389
geometry19,base16,uniform_quarter_2,17,0.0016196283280510704,-0.0004276989555184768,0.004898718776236704
