tag,seed,condition,axis,group,samples,class0,class1,old_errors,new_errors,harm,repair
proxy_synthetic,7,uniform_half_0,N_x_original_shape,5-8:compact,121,57,64,12,13,4,3
proxy_synthetic,17,uniform_half_0,N_x_original_shape,5-8:compact,121,57,64,11,13,5,3
proxy_synthetic,37,uniform_half_0,N_x_original_shape,5-8:compact,121,57,64,12,15,3,0
proxy_synthetic,7,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,10,14,6,2
proxy_synthetic,17,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,9,15,8,2
proxy_synthetic,37,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,10,15,6,1
proxy_synthetic,7,uniform_quarter_0,N_x_original_shape,3-4:compact,121,57,64,10,16,6,0
proxy_synthetic,17,uniform_quarter_0,N_x_original_shape,3-4:compact,121,57,64,13,14,4,3
proxy_synthetic,37,uniform_quarter_0,N_x_original_shape,3-4:compact,121,57,64,14,16,5,3
proxy_synthetic,7,uniform_quarter_2,N_x_original_shape,3-4:compact,121,57,64,9,16,7,0
proxy_synthetic,17,uniform_quarter_2,N_x_original_shape,3-4:compact,121,57,64,12,14,6,4
proxy_synthetic,37,uniform_quarter_2,N_x_original_shape,3-4:compact,121,57,64,15,16,5,4
proxy_synthetic,7,central_half,N_x_original_shape,5-8:compact,121,57,64,14,15,3,2
proxy_synthetic,17,central_half,N_x_original_shape,5-8:compact,121,57,64,11,13,4,2
proxy_synthetic,37,central_half,N_x_original_shape,5-8:compact,121,57,64,12,13,3,2
proxy_natural,7,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,10,12,5,3
proxy_natural,17,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,9,14,8,3
proxy_natural,37,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,10,14,6,2
proxy_natural,7,uniform_quarter_0,N_x_original_shape,3-4:compact,121,57,64,10,16,6,0
proxy_natural,17,uniform_quarter_0,N_x_original_shape,3-4:compact,121,57,64,13,15,5,3
proxy_natural,37,uniform_quarter_0,N_x_original_shape,3-4:compact,121,57,64,14,16,6,4
proxy_natural,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,39,77,12,16,6,2
proxy_natural,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,39,77,11,15,4,0
proxy_natural,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,39,77,13,15,4,2
proxy_natural,7,uniform_quarter_2,N_x_original_shape,3-4:compact,121,57,64,9,15,6,0
proxy_natural,17,uniform_quarter_2,N_x_original_shape,3-4:compact,121,57,64,12,15,7,4
proxy_natural,37,uniform_quarter_2,N_x_original_shape,3-4:compact,121,57,64,15,18,7,4
mean_natural,7,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,10,14,6,2
mean_natural,17,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,9,11,5,3
mean_natural,37,uniform_half_2,N_x_original_shape,5-8:compact,121,57,64,10,14,7,3
mean_natural,7,uniform_quarter_1,N_x_original_shape,1-2:compact,116,39,77,12,15,5,2
mean_natural,17,uniform_quarter_1,N_x_original_shape,1-2:compact,116,39,77,11,14,3,0
mean_natural,37,uniform_quarter_1,N_x_original_shape,1-2:compact,116,39,77,13,15,4,2
mean_natural,7,central_half,N_x_original_shape,5-8:compact,121,57,64,14,15,4,3
mean_natural,17,central_half,N_x_original_shape,5-8:compact,121,57,64,11,15,6,2
mean_natural,37,central_half,N_x_original_shape,5-8:compact,121,57,64,12,13,4,3
