tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1,equivalent_existing_group
A,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.917899605050443,0.9172959226362207,retained_N:1-2
A,17,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9151779319377085,0.9144420488493233,retained_N:1-2
A,37,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.8986330243313484,0.8975862118756761,retained_N:1-2
B,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9468966787402542,0.9467606611099284,retained_N:1-2
B,17,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.941637505883316,0.9415369151744435,retained_N:1-2
B,37,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9384860949106759,0.9384079157349864,retained_N:1-2
C,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9409417398244214,0.9408145888403652,retained_N:1-2
C,17,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9452186547158614,0.9450785667539725,retained_N:1-2
C,37,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9451981910082469,0.9450700755153232,retained_N:1-2
proxy_synthetic,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9500276260052797,0.9498398370875751,retained_N:1-2
proxy_synthetic,17,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9452698139848977,0.9451383091484742,retained_N:1-2
proxy_synthetic,37,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9358462766283996,0.9357693639240443,retained_N:1-2
proxy_natural,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9539361941596578,0.9536759090119588,retained_N:1-2
proxy_natural,17,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9547956698794687,0.9544930460925292,retained_N:1-2
proxy_natural,37,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9546626557799742,0.9544037250960915,retained_N:1-2
mean_synthetic,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9473980395768106,0.9472662970292304,retained_N:1-2
mean_synthetic,17,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9412384635848323,0.9411220937086537,retained_N:1-2
mean_synthetic,37,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9324902285796141,0.9324442398515096,retained_N:1-2
mean_natural,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9562485931201015,0.9559887253177543,retained_N:1-2
mean_natural,17,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9536701659606688,0.9533986566396357,retained_N:1-2
mean_natural,37,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9552970307160251,0.9550410253313515,retained_N:1-2
mean_synthetic_q12,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9473980395768106,0.9472662970292304,retained_N:1-2
mean_synthetic_q12,17,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9412384635848323,0.9411220937086537,retained_N:1-2
mean_synthetic_q12,37,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9324902285796141,0.9324442398515096,retained_N:1-2
