tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
B,A,7,clean,-0.00036064542619917983,536,515
B,A,17,clean,0.0008183380839746901,403,465
B,A,37,clean,0.00053384806090917,439,482
B,A,7,uniform_half_0,0.0006281740405372771,669,724
B,A,17,uniform_half_0,0.003848167582463091,508,799
B,A,37,uniform_half_0,0.0034785384596764946,514,780
B,A,7,uniform_half_1,0.0017812500659843966,638,780
B,A,17,uniform_half_1,0.002999760163652776,533,759
B,A,37,uniform_half_1,0.0037122391553537915,513,797
B,A,7,uniform_half_2,0.0008884523566283775,647,721
B,A,17,uniform_half_2,0.0029932890051578287,512,738
B,A,37,uniform_half_2,0.0031235321835730856,539,778
B,A,7,uniform_quarter_0,0.011057860740930181,661,1503
B,A,17,uniform_quarter_0,0.014500292710694529,618,1707
B,A,37,uniform_quarter_0,0.014653743747054082,618,1724
B,A,7,uniform_quarter_1,0.010194385828915298,637,1413
B,A,17,uniform_quarter_1,0.0150391112463919,604,1733
B,A,37,uniform_quarter_1,0.014472348908531885,617,1710
B,A,7,uniform_quarter_2,0.010442328731227524,622,1417
B,A,17,uniform_quarter_2,0.01428398347677673,653,1723
B,A,37,uniform_quarter_2,0.015256977542232875,597,1749
B,A,7,central_half,0.019918939672521674,289,1847
B,A,17,central_half,0.015487026549951377,372,1582
B,A,37,central_half,0.01659664517912096,373,1672
B,A,7,xy_fraction6,-0.00040220671165014377,545,521
B,A,17,xy_fraction6,0.000752893580397318,402,459
B,A,37,xy_fraction6,0.0006781418267428618,432,486
B,A,7,xy_fraction4,-0.00047919376014726733,544,514
B,A,17,xy_fraction4,0.0008170062096928277,405,467
B,A,37,xy_fraction4,0.0006120151330377688,437,486
B,A,7,kept_single,0.01412180971337429,711,1772
B,A,17,kept_single,0.014747396446944228,844,1936
B,A,37,kept_single,0.015342652848991167,819,1956
B,A,7,sparse_single,0.029464738473707675,1319,4153
B,A,17,sparse_single,0.027094866325120148,2289,4875
B,A,37,sparse_single,0.04082170385931028,2531,6426
B,A,7,sparse_context,0.00784689509984593,1437,2187
B,A,17,sparse_context,0.01912185300422875,1070,2920
B,A,37,sparse_context,0.022345598914245812,1297,3451
C,A,7,clean,0.0010254650500698403,250,329
C,A,17,clean,0.0005825760949307313,314,359
C,A,37,clean,-0.00023414150335843154,365,349
C,A,7,uniform_half_0,0.002643196691041849,358,559
C,A,17,uniform_half_0,0.0028512766002959378,445,663
C,A,37,uniform_half_0,0.0011958087008999696,534,626
C,A,7,uniform_half_1,0.0034435306870144178,358,619
C,A,17,uniform_half_1,0.0025812409924809154,450,647
C,A,37,uniform_half_1,0.0024757211494895737,498,688
C,A,7,uniform_half_2,0.0024912704612111147,378,567
C,A,17,uniform_half_2,0.003230562356507205,406,653
C,A,37,uniform_half_2,0.0016270772299122882,528,653
C,A,7,uniform_quarter_0,0.01148217573087873,528,1395
C,A,17,uniform_quarter_0,0.013749467866023934,506,1543
C,A,37,uniform_quarter_0,0.014081880389037127,567,1630
C,A,7,uniform_quarter_1,0.01059592617533145,482,1282
C,A,17,uniform_quarter_1,0.013890940502252813,502,1548
C,A,37,uniform_quarter_1,0.013521503725121842,591,1612
C,A,7,uniform_quarter_2,0.010678357068884536,488,1294
C,A,17,uniform_quarter_2,0.01302817751032892,521,1501
C,A,37,uniform_quarter_2,0.013595954517938935,564,1590
C,A,7,central_half,0.012050138986564818,260,1204
C,A,17,central_half,0.01527223403612088,274,1468
C,A,37,central_half,0.014425680878837999,366,1496
C,A,7,xy_fraction6,0.0010640423444352454,249,331
C,A,17,xy_fraction6,0.0005164602382881078,317,357
C,A,37,xy_fraction6,-0.00012892560442823164,356,348
C,A,7,xy_fraction4,0.0009336988452905981,257,329
C,A,17,xy_fraction4,0.0005303855818996617,315,356
C,A,37,xy_fraction4,-0.00010417989565036923,358,352
C,A,7,kept_single,0.012303604021831283,638,1554
C,A,17,kept_single,0.015897215985270163,649,1835
C,A,37,kept_single,0.015674513291267678,758,1923
C,A,7,sparse_single,0.023518666204144445,1684,3936
C,A,17,sparse_single,0.030636517904649163,1625,4561
C,A,37,sparse_single,0.04748386363964707,1818,6369
C,A,7,sparse_context,0.009950161494351017,1037,1994
C,A,17,sparse_context,0.01881053563948165,820,2640
C,A,37,sparse_context,0.024368922235405766,980,3334
C,B,7,clean,0.0013861104762690202,368,468
C,B,17,clean,-0.00023576198904395884,304,287
C,B,37,clean,-0.0007679895642676016,367,308
C,B,7,uniform_half_0,0.002015022650504572,447,593
C,B,17,uniform_half_0,-0.0009968909821671534,441,368
C,B,37,uniform_half_0,-0.002282729758776525,526,352
C,B,7,uniform_half_1,0.0016622806210300212,445,564
C,B,17,uniform_half_1,-0.00041851917117186055,432,403
C,B,37,uniform_half_1,-0.0012365180058642178,466,372
C,B,7,uniform_half_2,0.0016028181045827372,428,543
C,B,17,uniform_half_2,0.00023727335134937633,383,404
C,B,37,uniform_half_2,-0.0014964549536607974,478,364
C,B,7,uniform_quarter_0,0.00042431498994854877,523,548
C,B,17,uniform_quarter_0,-0.0007508248446705945,534,482
C,B,37,uniform_quarter_0,-0.0005718633580169552,549,506
C,B,7,uniform_quarter_1,0.00040154034641615155,498,522
C,B,17,uniform_quarter_1,-0.0011481707441390876,533,450
C,B,37,uniform_quarter_1,-0.0009508451834100429,542,470
C,B,7,uniform_quarter_2,0.0002360283376570127,528,539
C,B,17,uniform_quarter_2,-0.0012558059664478094,548,458
C,B,37,uniform_quarter_2,-0.0016610230242939394,571,445
C,B,7,central_half,-0.007868800685956856,890,276
C,B,17,central_half,-0.00021479251383049736,414,398
C,B,37,central_half,-0.0021709643002829626,538,369
C,B,7,xy_fraction6,0.0014662490560853891,370,476
C,B,17,xy_fraction6,-0.0002364333421092102,307,290
C,B,37,xy_fraction6,-0.0008070674311710935,368,306
C,B,7,xy_fraction4,0.0014128926054378654,372,474
C,B,17,xy_fraction4,-0.000286620627793166,310,289
C,B,37,xy_fraction4,-0.000716195028688138,367,312
C,B,7,kept_single,-0.0018182056915430067,648,503
C,B,17,kept_single,0.0011498195383259358,493,587
C,B,37,kept_single,0.00033186044227651035,572,600
C,B,7,sparse_single,-0.0059460722695632295,1411,829
C,B,17,sparse_single,0.003541651579529015,1134,1484
C,B,37,sparse_single,0.006662159780336796,866,1522
C,B,7,sparse_context,0.002103266394505088,891,1098
C,B,17,sparse_context,-0.00031131736474709903,799,769
C,B,37,sparse_context,0.0020233233211599533,710,910
proxy_synthetic,A,7,clean,0.00026202337827019306,368,387
proxy_synthetic,A,17,clean,-0.00015647041957911334,435,421
proxy_synthetic,A,37,clean,0.001492251576577619,364,481
proxy_synthetic,A,7,uniform_half_0,0.0015923456368224231,474,592
proxy_synthetic,A,17,uniform_half_0,0.003913251337047452,458,751
proxy_synthetic,A,37,uniform_half_0,0.0037446678925773247,497,785
proxy_synthetic,A,7,uniform_half_1,0.00254941497025718,472,662
proxy_synthetic,A,17,uniform_half_1,0.0035470690898177226,487,752
proxy_synthetic,A,37,uniform_half_1,0.004779546396521894,458,825
proxy_synthetic,A,7,uniform_half_2,0.0014258243245059976,481,586
proxy_synthetic,A,17,uniform_half_2,0.003164052680013185,499,735
proxy_synthetic,A,37,uniform_half_2,0.0037574495586003565,496,785
proxy_synthetic,A,7,uniform_quarter_0,0.0093726125024165,627,1329
proxy_synthetic,A,17,uniform_quarter_0,0.013497232917652924,615,1626
proxy_synthetic,A,37,uniform_quarter_0,0.014498512364912508,590,1690
proxy_synthetic,A,7,uniform_quarter_1,0.00877266236935259,612,1269
proxy_synthetic,A,17,uniform_quarter_1,0.014047929936343961,609,1661
proxy_synthetic,A,37,uniform_quarter_1,0.014482260433023919,564,1663
proxy_synthetic,A,7,uniform_quarter_2,0.008697251033244258,605,1256
proxy_synthetic,A,17,uniform_quarter_2,0.013472103690289061,629,1636
proxy_synthetic,A,37,uniform_quarter_2,0.01435891810532075,587,1676
proxy_synthetic,A,7,central_half,0.01135968779209473,398,1287
proxy_synthetic,A,17,central_half,0.012473982823923535,482,1456
proxy_synthetic,A,37,central_half,0.0167742020282885,332,1645
proxy_synthetic,A,7,xy_fraction6,0.00023506190689681628,369,386
proxy_synthetic,A,17,xy_fraction6,-0.00018302284338811425,433,417
proxy_synthetic,A,37,xy_fraction6,0.001545099245853998,360,481
proxy_synthetic,A,7,xy_fraction4,2.6832484916194943e-05,385,386
proxy_synthetic,A,17,xy_fraction4,-0.0002629757305177005,442,420
proxy_synthetic,A,37,xy_fraction4,0.0014133542813921096,363,474
proxy_synthetic,A,7,kept_single,0.010792811909440148,756,1557
proxy_synthetic,A,17,kept_single,0.014222345724127283,802,1855
proxy_synthetic,A,37,kept_single,0.015944047928216243,709,1900
proxy_synthetic,A,7,sparse_single,0.032543914451354405,1135,4275
proxy_synthetic,A,17,sparse_single,0.030696260299150846,1802,4743
proxy_synthetic,A,37,sparse_single,0.038183152048368196,2902,6539
proxy_synthetic,A,7,sparse_context,0.013306223931582872,772,2061
proxy_synthetic,A,17,sparse_context,0.021158642343583445,923,2975
proxy_synthetic,A,37,sparse_context,0.022065274587438122,1317,3444
proxy_synthetic,B,7,clean,0.0006226688044693729,445,485
proxy_synthetic,B,17,clean,-0.0009748085035538034,366,290
proxy_synthetic,B,37,clean,0.000958403515668449,276,350
proxy_synthetic,B,7,uniform_half_0,0.000964171596285146,555,618
proxy_synthetic,B,17,uniform_half_0,6.508375458436078e-05,411,413
proxy_synthetic,B,37,uniform_half_0,0.00026612943290083013,363,385
proxy_synthetic,B,7,uniform_half_1,0.0007681649042727834,554,602
proxy_synthetic,B,17,uniform_half_1,0.0005473089261649466,387,426
proxy_synthetic,B,37,uniform_half_1,0.0010673072411681028,344,427
proxy_synthetic,B,7,uniform_half_2,0.0005373719678776201,549,580
proxy_synthetic,B,17,uniform_half_2,0.00017076367485535648,394,404
proxy_synthetic,B,37,uniform_half_2,0.0006339173750272709,330,380
proxy_synthetic,B,7,uniform_quarter_0,-0.0016852482385136813,704,564
proxy_synthetic,B,17,uniform_quarter_0,-0.0010030597930416052,529,451
proxy_synthetic,B,37,uniform_quarter_0,-0.00015523138214157406,506,500
proxy_synthetic,B,7,uniform_quarter_1,-0.001421723459562707,685,566
proxy_synthetic,B,17,uniform_quarter_1,-0.0009911813100479394,530,453
proxy_synthetic,B,37,uniform_quarter_1,9.911524492034474e-06,491,497
proxy_synthetic,B,7,uniform_quarter_2,-0.001745077697983266,709,565
proxy_synthetic,B,17,uniform_quarter_2,-0.0008118797864876681,550,487
proxy_synthetic,B,37,uniform_quarter_2,-0.0008980594369121242,538,475
proxy_synthetic,B,7,central_half,-0.008559251880426944,896,227
proxy_synthetic,B,17,central_half,-0.003013043726027842,583,347
proxy_synthetic,B,37,central_half,0.00017755684916753722,402,416
proxy_synthetic,B,7,xy_fraction6,0.00063726861854696,448,489
proxy_synthetic,B,17,xy_fraction6,-0.0009359164237854323,364,291
proxy_synthetic,B,37,xy_fraction6,0.0008669574191111362,278,345
proxy_synthetic,B,7,xy_fraction4,0.0005060262450634623,448,479
proxy_synthetic,B,17,xy_fraction4,-0.0010799819402105282,374,290
proxy_synthetic,B,37,xy_fraction4,0.0008013391483543408,281,343
proxy_synthetic,B,7,kept_single,-0.0033289978039341417,726,466
proxy_synthetic,B,17,kept_single,-0.0005250507228169443,581,542
proxy_synthetic,B,37,kept_single,0.0006013950792250755,574,628
proxy_synthetic,B,7,sparse_single,0.003079175977646731,969,1275
proxy_synthetic,B,17,sparse_single,0.0036013939740306977,1254,1609
proxy_synthetic,B,37,sparse_single,-0.0026385518109420802,1408,1150
proxy_synthetic,B,7,sparse_context,0.005459328831736943,856,1395
proxy_synthetic,B,17,sparse_context,0.0020367893393546943,785,987
proxy_synthetic,B,37,sparse_context,-0.0002803243268076905,787,760
proxy_natural,A,7,clean,0.0002704970104320248,372,393
proxy_natural,A,17,clean,-0.0021526738704772397,544,377
proxy_natural,A,37,clean,0.0006595927377266442,495,551
proxy_natural,A,7,uniform_half_0,0.00013413000909678896,529,538
proxy_natural,A,17,uniform_half_0,0.0018748058846744797,629,765
proxy_natural,A,37,uniform_half_0,0.0024014578101799744,598,785
proxy_natural,A,7,uniform_half_1,0.001188877857363213,546,634
proxy_natural,A,17,uniform_half_1,0.001496431054759273,669,776
proxy_natural,A,37,uniform_half_1,0.0032363930876990743,534,785
proxy_natural,A,7,uniform_half_2,-0.00017727255836286204,571,555
proxy_natural,A,17,uniform_half_2,0.0013729404849260884,638,736
proxy_natural,A,37,uniform_half_2,0.0025189721067566673,579,775
proxy_natural,A,7,uniform_quarter_0,0.008057804616311337,681,1287
proxy_natural,A,17,uniform_quarter_0,0.01197187800308952,763,1654
proxy_natural,A,37,uniform_quarter_0,0.012352886718265066,630,1566
proxy_natural,A,7,uniform_quarter_1,0.00707605307773973,663,1194
proxy_natural,A,17,uniform_quarter_1,0.011669990680094333,815,1681
proxy_natural,A,37,uniform_quarter_1,0.012115509447852002,646,1564
proxy_natural,A,7,uniform_quarter_2,0.006995770217283148,672,1197
proxy_natural,A,17,uniform_quarter_2,0.010851987963424459,843,1646
proxy_natural,A,37,uniform_quarter_2,0.012185240675197218,639,1561
proxy_natural,A,7,central_half,0.013610924451707751,332,1398
proxy_natural,A,17,central_half,0.009536018157901283,602,1346
proxy_natural,A,37,central_half,0.016702202855447768,397,1706
proxy_natural,A,7,xy_fraction6,0.0003085888561699113,369,393
proxy_natural,A,17,xy_fraction6,-0.002218746972720731,545,373
proxy_natural,A,37,xy_fraction6,0.0007511258554119271,489,552
proxy_natural,A,7,xy_fraction4,0.0001793987157485688,378,392
proxy_natural,A,17,xy_fraction4,-0.002192468907437517,544,374
proxy_natural,A,37,xy_fraction4,0.0005125433212198605,500,545
proxy_natural,A,7,kept_single,0.011203395119325887,766,1603
proxy_natural,A,17,kept_single,0.013735555244400954,948,1960
proxy_natural,A,37,kept_single,0.01450019470152375,760,1840
proxy_natural,A,7,sparse_single,0.03637998637573803,928,4450
proxy_natural,A,17,sparse_single,0.04005099724320582,876,4748
proxy_natural,A,37,sparse_single,0.056817513220415394,836,6312
proxy_natural,A,7,sparse_context,0.014281641191990602,810,2196
proxy_natural,A,17,sparse_context,0.021009279894880217,841,2884
proxy_natural,A,37,sparse_context,0.025951969432141286,770,3281
proxy_natural,B,7,clean,0.0006311424366312046,442,484
proxy_natural,B,17,clean,-0.0029710119544519298,499,270
proxy_natural,B,37,clean,0.00012574467681747414,383,396
proxy_natural,B,7,uniform_half_0,-0.0004940440314404881,655,609
proxy_natural,B,17,uniform_half_0,-0.0019733616977886115,589,434
proxy_natural,B,37,uniform_half_0,-0.0010770806494965202,503,424
proxy_natural,B,7,uniform_half_1,-0.0005923722086211836,651,597
proxy_natural,B,17,uniform_half_1,-0.001503329108893503,554,435
proxy_natural,B,37,uniform_half_1,-0.00047584606765471715,477,444
proxy_natural,B,7,uniform_half_2,-0.0010657249149912396,640,550
proxy_natural,B,17,uniform_half_2,-0.0016203485202317403,555,427
proxy_natural,B,37,uniform_half_2,-0.0006045600768164183,486,443
proxy_natural,B,7,uniform_quarter_0,-0.003000056124618844,795,559
proxy_natural,B,17,uniform_quarter_0,-0.002528414707605009,713,515
proxy_natural,B,37,uniform_quarter_0,-0.002300857028789016,702,532
proxy_natural,B,7,uniform_quarter_1,-0.0031183327511755676,778,533
proxy_natural,B,17,uniform_quarter_1,-0.0033691205662975676,742,479
proxy_natural,B,37,uniform_quarter_1,-0.0023568394606798826,696,521
proxy_natural,B,7,uniform_quarter_2,-0.0034465585139443755,814,544
proxy_natural,B,17,uniform_quarter_2,-0.0034319955133522706,773,506
proxy_natural,B,37,uniform_quarter_2,-0.003071736867035657,694,464
proxy_natural,B,7,central_half,-0.006308015220813923,785,293
proxy_natural,B,17,central_half,-0.0059510083920500945,802,336
proxy_natural,B,37,central_half,0.00010555767632680624,458,468
proxy_natural,B,7,xy_fraction6,0.000710795567820055,439,487
proxy_natural,B,17,xy_fraction6,-0.002971640553118049,499,270
proxy_natural,B,37,xy_fraction6,7.298402866906528e-05,384,393
proxy_natural,B,7,xy_fraction4,0.0006585924758958361,438,482
proxy_natural,B,17,xy_fraction4,-0.0030094751171303447,505,273
proxy_natural,B,37,xy_fraction4,-9.947181181790832e-05,404,400
proxy_natural,B,7,kept_single,-0.002918414594048402,743,519
proxy_natural,B,17,kept_single,-0.0010118412025432733,693,613
proxy_natural,B,37,kept_single,-0.0008424581474674175,700,643
proxy_natural,B,7,sparse_single,0.0069152479020303526,1254,1942
proxy_natural,B,17,sparse_single,0.012956130918085673,1525,2811
proxy_natural,B,37,sparse_single,0.015995809361105118,1389,2970
proxy_natural,B,7,sparse_context,0.006434746092144672,997,1633
proxy_natural,B,17,sparse_context,0.0018874268906514668,1214,1407
proxy_natural,B,37,sparse_context,0.003606370517895474,1003,1360
mean_synthetic,A,7,clean,0.0026953292860405487,293,500
mean_synthetic,A,17,clean,0.0011823996711628482,385,474
mean_synthetic,A,37,clean,0.0012206658252498226,499,598
mean_synthetic,A,7,uniform_half_0,0.0034102554389405793,430,692
mean_synthetic,A,17,uniform_half_0,0.0046692310142824045,445,797
mean_synthetic,A,37,uniform_half_0,0.003057560574132534,615,854
mean_synthetic,A,7,uniform_half_1,0.00400610191933648,433,740
mean_synthetic,A,17,uniform_half_1,0.004325143145694876,494,820
mean_synthetic,A,37,uniform_half_1,0.003975283482290148,560,869
mean_synthetic,A,7,uniform_half_2,0.004002522368129258,401,708
mean_synthetic,A,17,uniform_half_2,0.004203436397404392,486,803
mean_synthetic,A,37,uniform_half_2,0.002925001338939359,617,846
mean_synthetic,A,7,uniform_quarter_0,0.01065146468480549,562,1374
mean_synthetic,A,17,uniform_quarter_0,0.014596514117174775,612,1709
mean_synthetic,A,37,uniform_quarter_0,0.013421286344027727,660,1683
mean_synthetic,A,7,uniform_quarter_1,0.009320427993216418,592,1303
mean_synthetic,A,17,uniform_quarter_1,0.015280046862571672,602,1750
mean_synthetic,A,37,uniform_quarter_1,0.013569954464968004,667,1702
mean_synthetic,A,7,uniform_quarter_2,0.00926936133334122,600,1307
mean_synthetic,A,17,uniform_quarter_2,0.014002268742681068,641,1690
mean_synthetic,A,37,uniform_quarter_2,0.014222510789210885,655,1738
mean_synthetic,A,7,central_half,0.017159656059994477,305,1648
mean_synthetic,A,17,central_half,0.013400143012547217,473,1520
mean_synthetic,A,37,central_half,0.016993949425653576,386,1718
mean_synthetic,A,7,xy_fraction6,0.002707406515367272,294,502
mean_synthetic,A,17,xy_fraction6,0.0011556549050423248,385,472
mean_synthetic,A,37,xy_fraction6,0.0013245981308126487,493,600
mean_synthetic,A,7,xy_fraction4,0.002564722376591666,303,500
mean_synthetic,A,17,xy_fraction4,0.00101091144947707,390,466
